Webpage Links / Website Link	Page Name

# ============================================================
# TKRCET WEBSITE - MAIN PAGES
# ============================================================

https://tkrcet.ac.in/	Home Page
https://tkrcet.in/	Staff / Student Login Portal (BET e-Portal)

# ============================================================
# QUICK ACCESS BAR (Top Bar Links)
# ============================================================

# https://tkrcet.ac.in/nirf/ → 404 (removed by college, use PDFs below)
# https://tkrcet.ac.in/ariia/ → 404 (removed by college, use PDFs below)
https://tkrcet.ac.in/iqac-2/	IQAC
https://tkrcet.ac.in/aqar/	AQAR
https://tkrcet.ac.in/naac-2/	NAAC
https://tkrcet.ac.in/wp-content/uploads/2025/11/NAAC.pdf	NAAC Certificate (PDF)
https://tkrcet.ac.in/alumni-sub-domain/	Alumni
https://tkrcet.ac.in/student-placed-details/	Student Degree Verification

# NOTE: The PDFs below return 404 — the college has not re-uploaded the 2025 NIRF PDFs yet.
# https://tkrcet.ac.in/wp-content/uploads/2025/02/TKRCET_NIRF_OVERALL-2025.pdf	(404 - removed)
# https://tkrcet.ac.in/wp-content/uploads/2025/02/TKRCET_NIRF_ENGG-2025.pdf	(404 - removed)
# https://tkrcet.ac.in/wp-content/uploads/2025/02/TKRCET_NIRF_MGMT-2025.pdf	(404 - removed)
# https://tkrcet.ac.in/wp-content/uploads/2025/02/TKRCET_NIRF_INNOVATION-2025.pdf	(404 - removed)

# NOTE: ARIIA PDFs below are very old — may or may not load
# https://tkrcet.ac.in/wp-content/uploads/2021/10/ARI-C-19714-ARIIA-2021.pdf	ARIIA 2021 Report (PDF)
# https://tkrcet.ac.in/wp-content/uploads/2019/11/ARI-C-19714-ARIIA-2020.pdf	ARIIA 2020 Report (PDF)

# ============================================================
# ABOUT
# ============================================================

https://tkrcet.ac.in/vision-mission/	Vision & Mission
https://tkrcet.ac.in/about-the-campus/	About the Campus
https://tkrcet.ac.in/chairmans-message/	Chairman's Message
https://tkrcet.ac.in/secretarys-message/	Secretary's Message
https://tkrcet.ac.in/treasurers-message/	Treasurer's Message
https://tkrcet.ac.in/audit-reports/	Audit Reports
https://tkrcet.ac.in/principal/	Principal
https://tkrcet.ac.in/vice-principal/	Vice Principal
https://tkrcet.ac.in/organogram/	Organogram
https://tkrcet.ac.in/wp-content/uploads/2025/11/admnistration-Doc-1.pdf	Administration Document (PDF)
https://tkrcet.ac.in/board-of-governors/	Board of Governors (BOG)

# ============================================================
# ADMISSIONS
# ============================================================

https://tkrcet.ac.in/admission-procedure/	Admission Procedure
https://tkrcet.ac.in/admission-details/	Admission Details
https://tkrcet.ac.in/fee-structure/	Fee Structure
https://tkrcet.ac.in/eapcet-last-rank/	EAPCET Last Rank
https://tkrcet.ac.in/pgcet-last-rank/	PGCET Last Rank
https://tkrcet.ac.in/polycet-last-rank/	POLYCET Last Rank

# ============================================================
# ACADEMICS
# ============================================================

https://tkrcet.ac.in/academic-regulations/	Academic Regulations
https://tkrcet.ac.in/academic-calendars/	Academic Calendars
https://tkrcet.ac.in/academic-council-minutes/	Academic Council Minutes
https://tkrcet.ac.in/syllabus/	Syllabus
https://tkrcet.ac.in/dean-academics/	Dean Academics
https://tkrcet.ac.in/dean-student-welfare/	Dean Student Welfare
